Title,Skills,Experience,Education
Количественный аналитик/трейдер,"Python, SQL, Анализ данных, Аналитическое мышление, Data Mining, Data Science, Numpy, Математический анализ, Аналитические исследования, Математическое моделирование, Базы данных, pandas, Аналитика, Data Analysis, Поиск информации в интернет, Анализ финансовых показателей, Анализ текущих финансовых показателей, Моделирование, Готовность обучаться, Достижение поставленных целей",От 3 до 6 лет,Not specified
Аналитик данных Power BI / Разработчик Power BI (Senior / Middle+ level),"Power BI, Анализ данных",От 3 до 6 лет,Not specified
Senior Talent Acquisition Specialist,,От 3 до 6 лет,Not specified
Аналитик (текстовый),,От 1 года до 3 лет,Not specified
Аналитик данных,"Hadoop, Apache Spark, ETL, SQL",От 1 года до 3 лет,Not specified
Lead Product Analyst,"Analysis, SQL, Исследовательский анализ данных",От 3 до 6 лет,Not specified
Младший специалист по анализу данных/Junior data analyst,,Нет опыта,Not specified
Финансовый менеджер (Junior),"Английский язык, Международные платежные системы",От 1 года до 3 лет,Not specified
"Junior Data Analyst/BI developer (блок ""Сеть Продаж"")",,От 1 года до 3 лет,Not specified
Chief Marketing Officer / CMO,,Более 6 лет,Not specified
Product manager (e-com),,От 3 до 6 лет,Not specified
Product manager,,От 1 года до 3 лет,Not specified
Data Analyst,"SQL, Python, ML, A/B/n",От 1 года до 3 лет,Not specified
Аналитик данных в департаменте недвижимости,,От 1 года до 3 лет,Not specified
Директор по продажам,"Управление продажами, B2B Продажи, Обучение персонала, Мотивация персонала, Управление командой, Обучение команды продаж, Развитие продаж, Развитие проектов, Аналитика продаж, Лидерство",От 1 года до 3 лет,Not specified
Data Engineer,"Python, Spark, Hadoop, SQL, Big Data, Hive, Kubernetes, Linux, Airflow, Clickhouse, PostgreSQL, pandas",От 3 до 6 лет,Not specified
"Интернет-маркетолог ( e-commerce, digital-продвижение)",,От 1 года до 3 лет,Not specified
Middle / Senior IT-project manager c перспективой роста в аккаунт-менеджера,"Деловая коммуникация, Ориентация на результат, Управление временем, PMBOK, Управление ожиданиями, Управление проектами, Scrum, Agile, Управление бэклогом, Управление рисками",От 3 до 6 лет,Not specified
Менеджер маркетплейсов (Аналитик - Озон),"Маркетплейсы, Поиск информации в интернет, E-Commerce, Google Docs, Работа с большим объемом информации, SEO оптимизация, SEO, Продвижение бренда",От 3 до 6 лет,Not specified
Владелец продукта / Product owner,"Agile Project Management, Scrum, Управление ожиданиями, Управление стейкхолдерами, Стратегический менеджмент, Продуктовые метрики, Управление ресурсами, Управление бэклогом",От 3 до 6 лет,Not specified
Дата аналитик (ученик),"Анализ данных, Классическое машинное обучение, MLflow, Python, SQL, Математическая статистика, Big Data, Data Analysis, ORACLE, Power BI, Tableau, R, Визуализация данных, Статистический анализ, machine learning, BI-инструменты",Нет опыта,Not specified
Продуктовый аналитик/junior product менеджер,"SQL, Google Analytics, Tableau, Power BI, BigQuery, Looke, UML, Use Case Analysis, Анализ данных",От 1 года до 3 лет,Not specified
Продуктовый аналитик (ML),"SQL, MS SQL Server, Apache Airflow, Python, Продуктовые метрики, Power BI, Big Data, MLflow",От 1 года до 3 лет,Not specified
DevOps-инженер (с опытом в блок-чейн нодах),,От 3 до 6 лет,Not specified
"КАМ / менеджер по работе с клиентами (Wildberries, Ozon)","Аналитика маркетплейсов, Маркетплейсы, E-Commerce, Навыки переговоров, Аналитическое мышление, Деловое общение, Управление отношениями с клиентами, Управление временим, Выстраивание долгосрочных отношением, Управление проектами",От 1 года до 3 лет,Not specified
Senior Java/Kotlin Developer,"Kotlin, Spring Boot, Node.js, MongoDB, PostgreSQL, Redis",Более 6 лет,Not specified
Руководитель направления по развитию процессов управления данными,Data Governance,От 3 до 6 лет,Not specified
Аналитик-программист,"Google apps script, Google sheets, Wildberries API, Ozon Api",Нет опыта,Not specified
Аналитик Данных (Sales Operations),,От 1 года до 3 лет,Not specified
Руководитель отдела инвентаризации,,От 1 года до 3 лет,Not specified
Финансовый аналитик (master data),,От 3 до 6 лет,Not specified
Ведущий специалист отдела по управлению данными (НСИ/MDM),,От 1 года до 3 лет,Not specified
Младший инженер (отдел сопровождения Big Data платформы),"Git, SQL, Python, Стрессоустойчивость, Коммуникабельность, Apache Airflow, Big Data",От 1 года до 3 лет,Not specified
Account manager,Деловая коммуникация,От 1 года до 3 лет,Not specified
Junior ML Engineer / Data scientist (Младший специалист МО),"Python, Git, Linux, ML",От 1 года до 3 лет,Not specified
"Junior системный аналитик в продукт Customer App Tracker [Big Data, МТС Веб Сервисы]","SQL, Python, Hadoop, PySpark, pandas, Tableau, Математическая статистика, Big Data",От 1 года до 3 лет,Not specified
Data Engineer / Data Analyst + Hadoop,"SQL, Hadoop, Scala, Python, Java",От 3 до 6 лет,Not specified
Аналитик по управлению данными,"Data Governance, Data Catalog",От 3 до 6 лет,Not specified
Data Business Analyst,,От 1 года до 3 лет,Not specified
Системный аналитик,"Разработка функциональных требований, Разработка пользовательской документации, Draw.io, Разработка технических заданий, Системный анализ, Аналитическое мышление, Бизнес-анализ, Документирование бизнес-требований, ГОСТ 34",От 3 до 6 лет,Not specified
Аналитик данных,"SQL, Python",От 3 до 6 лет,Not specified
Ведущий маркетолог-аналитик,"Запуск контекстных кампаний, Контент-маркетинг, Руководство разработкой и проведением комплексных маркетинговых исследований, Маркетинговая стратегия, Клиентоориентированность",От 3 до 6 лет,Not specified
Lead DevOps,"Ethereum, Bitcoin",От 3 до 6 лет,Not specified
Backend Developer Java ЕЕ в Банк,"Java, Spring Framework, WebFlux",От 3 до 6 лет,Not specified
Главный бухгалтер,"Бухгалтерская отчетность, Налоговая отчетность, Лизинговые операции, 1С, ПБУ",Более 6 лет,Not specified
Data Analyst,,От 1 года до 3 лет,Not specified
Аналитик данных/Инженер,"SQL, Big Data, DataLens",От 3 до 6 лет,Not specified
Product/Data Analyst,"Python, SQL, A/B тесты",От 3 до 6 лет,Not specified
Финансовый аналитик,"Управление бэклогом, Проектный менеджмент, владелец продукта, финансовая модель, финмодель",От 1 года до 3 лет,Not specified
Руководитель AI проектов,,От 3 до 6 лет,Not specified
Аудитор-аналитик данных,,От 1 года до 3 лет,Not specified
AI/ML Product manager/Business Analyst,"Market Research, Project management, Бизнес-анализ, Python, Продуктовые метрики, A/B тесты, Financial Planning, Product Marketing, Prototyping, Product Roadmap Dev, Google Analytics",От 3 до 6 лет,Not specified
Разработчик Power BI Middle,"SQL, PostgreSQL, Power BI, MS Excel",От 1 года до 3 лет,Not specified
Project Manager (DWH),,От 1 года до 3 лет,Not specified
Аналитик данных (Data Scientist),"Power BI, SQL, MS SQL, Python, data science, Big Data",От 3 до 6 лет,Not specified
Digital project manager/Customer success manager,"Google Analytics, Яндекс.Метрика, Clickhouse, Google BigQuery, Account Management, Project management, Деловая коммуникация, Data Studio, DataLens, Power BI",От 3 до 6 лет,Not specified
"Младший аналитик данных (Последняя миля, ПВЗ)","SQL, Python",Нет опыта,Not specified
Консультант по поведенческим исследованиям (Лаборатория нейронаук и поведения человека),,От 3 до 6 лет,Not specified
Менеджер ИТ проектов,Управление проектами,От 3 до 6 лет,Not specified
"Backend developer (C#, .Net)",".NET Core, C#, SQL, ASP.NET Core",От 3 до 6 лет,Not specified
Руководитель отдела аналитики в девелопмент,,Более 6 лет,Not specified
Младший аналитик,"SQL, VBA, Анализ данных, Базы данных, Python, Математическая статистика, ВПР, MS Excel",Нет опыта,Not specified
Бизнес - аналитик (в команду BI),"BPMN, ARIS, Бизнес-анализ, Управление проектами, MS Visio, Business Analysis, Data Analysis, Моделирование бизнес процессов, Business Intelligence Systems, Системное мышление, Разработка технических заданий, SQL, Разработка проектной документации",От 1 года до 3 лет,Not specified
Junior Data Scientist,,Нет опыта,Not specified
Data Engineer,"Python, SQL, Airflow, Hadoop, Spark (Pyspark), Gitlab, Vertica, Clickhouse",От 3 до 6 лет,Not specified
Investment Manager / Инвестиционный менеджер,,От 1 года до 3 лет,Not specified
"Java разработчик, Поисковая платформа","IT, Разработка поисковых технологий, Java, Apache Kafka, Redis",От 3 до 6 лет,Not specified
Директор ИТ (CIO) (в г. Владивосток),,Более 6 лет,Not specified
Продуктовый аналитик,"SQL, Python, Grafana, Статистика",От 1 года до 3 лет,Not specified
Бизнес-аналитик / Методолог,"Оптимизация бизнес-процессов, Разработка пользовательской документации, Организация работы сотрудников, Разработка функциональных требований, Разработка нефункциональных требований, Бизнес-анализ, Реинжиниринг бизнес-процессов, Моделирование бизнес-процессов, Постановка задач разработчикам, Описание бизнес-процессов, Автоматизация бизнес-процессов",От 3 до 6 лет,Not specified
Data engineer (Стажер),"SQL, Greenplum, Big Data, DWH, СУБД, Базы данных, Планирование карьеры, Английский язык, Обучение и развитие, Анализ данных, Дистанционное обучение, Clickhouse, Apache Airflow, Superset",Нет опыта,Not specified
IT Analyst,,От 3 до 6 лет,Not specified
Системный аналитик,,От 1 года до 3 лет,Not specified
Web-analyst/веб-аналитик igaming,,От 3 до 6 лет,Not specified
Product Analyst/Project Manager AI/ML,"ML, Python, Умение управлять структурным подразделением и организовать его работу, Бизнес-анализ, Product, AI",От 3 до 6 лет,Not specified
Системный аналитик,,От 1 года до 3 лет,Not specified
Python разработчик,,От 1 года до 3 лет,Not specified
Руководитель IT/ Product разработки,"Управление командой, Стратегическое планирование, Управление бэклогом, Лидерство, Управление инновациями, Git, Linux, PostgreSQL, Docker, Kubernetes, Elasticsearch, Grafana, Prometheus, CI/CD, Оптимизация кода, Разработка и внедрение KPI",Более 6 лет,Not specified
"Аналитик данных /Data Analyst в управление ""Голосовой ассистент""",,От 1 года до 3 лет,Not specified
Junior Digital Аккаунт-менеджер (МТС AdTech),"MyTarget, ВК, Яндекс.Метрика, Google Analytics, DSP, Яндекс.Директ, Programmatic, Performance-маркетинг, Таргетинг, Ретаргетинг",От 1 года до 3 лет,Not specified
Стажер в аналитический департамент ВТБ Юниор,,Нет опыта,Not specified
Менеджер маркетплейсов,"Аналитическое мышление, Копирайтинг, Аналитика, Яндекс.Метрика, Google Analytics, Контроль и анализ ценообразования, Конкурентная аналитика, ABC-анализ, Анализ продаж, Анализ ассортиментной линейки, Деловое общение",От 1 года до 3 лет,Not specified
Business Analyst (Fintech),"BPMN, UML, SQL, BI, Английский язык",От 3 до 6 лет,Not specified
Категорийный менеджер,"Ведение переговоров, Обучение и развитие, Деловое общение, Развитие продаж",От 3 до 6 лет,Not specified
