Title,Skills,Experience,Education
Бизнес-аналитик (Middle),"Бизнес-анализ, Анализ бизнес-процессов, Аналитическое мышление, Стратегическое планирование, Power BI, Figma, Разработка бизнес-требований, Анализ рынка, Маркетинговый анализ, Контентная стратегия",От 1 года до 3 лет,Not specified
Директолог/Специалист по контекстной рекламе в digital-агентство,"Google Analytics, Яндекс.Метрика, Контекстная реклама, Внешний аудит контекстной рекламы, Внутренний аудит контекстной рекламы, Работа с контекстными площадками, Работа с системами аналитики, Интернет-реклама, Сквозная аналитика, Roistat, Google Ads, Google Data Studio, Яндекс.Директ",От 1 года до 3 лет,Not specified
Product Manager,"Продуктовые метрики, A/B тесты, Продуктовая стратегия, Приоритизация бэклога, Управление продуктом",От 1 года до 3 лет,Not specified
ML-инженер,,От 1 года до 3 лет,Not specified
Data Analyst / Product Analyst,"OpenAI, Node.js, MongoDB, Unit-экономика, Git, Data Analysis, продуктовая аналитика, Big Data, Metabase, SQL, BigQuery, Data Mining, Бизнес-анализ, Looker, Google Analytics, A/B тесты, ETL, Визуализация данных",От 3 до 6 лет,Not specified
Стажёр аналитик Spark Hadoop BigData,"SQL, ETL, Hadoop, DWH, Big Data, Python, Базы данных, Kafka, Java, Scala",От 1 года до 3 лет,Not specified
Системный аналитик КХД,,От 1 года до 3 лет,Not specified
Data scientist,,От 3 до 6 лет,Not specified
Data Engineer,"PostgreSQL, Python, Clickhouse, Linux, Apache Airflow",От 1 года до 3 лет,Not specified
Аналитик DWH (GreenPlum/Oracle/pgSQL),"ETL, SQL, Oracle DB, Greenplum, DWH, Разработка функциональных требований",От 3 до 6 лет,Not specified
Ведущий аналитик-исследователь (Рекомендательные системы),"SQL, Python, pandas, Рекомендательные системы, Flask, FastAPI, Apache Airflow, ETL, Scikit-learn",От 3 до 6 лет,Not specified
Аналитик качества данных (data quality),"ПВР, кредитные риски, Анализ данных, Аналитика, Статистический анализ, Работа с большим объемом информации",От 1 года до 3 лет,Not specified
Руководитель клиентской технической поддержки (IT),"Техническая поддержка, Техническая поддержка пользователей, Руководство коллективом, ITIL, ITSM, Help Desk, Service Desk, Стрессоустойчивость, Многозадачность, Клиентоориентированность, Эмпатия, Телефонные переговоры, Обучение, Ответственность",От 1 года до 3 лет,Not specified
Junior Technical Support engineer,Техническая поддержка,От 1 года до 3 лет,Not specified
Ведущий Б2Б маркетолог/Senior B2B,"B2B маркетинг, Digital Marketing, Product Marketing, Маркетинговая стратегия, Интернет-маркетинг, Маркетинговые коммуникации, Email-маркетинг, Google Analytics, Internet Marketing",От 3 до 6 лет,Not specified
Продуктовый аналитик,"SQL, A/B тесты, Python, Прогнозирование продаж, Прогнозирование спроса, Математическая статистика, Power BI",От 3 до 6 лет,Not specified
Аналитик данных (middle),,От 3 до 6 лет,Not specified
Менеджер проектов в маркетинговых исследованиях,"Маркетинговые исследования, количественные исследования, Аналитические исследования, SPSS, Исследования рынка, Сбор и анализ информации, Проведение опросов, Заключение договоров, Деловая коммуникация",От 3 до 6 лет,Not specified
Junior Customer Supply Chain analyst / Младший аналитик клиентской цепочки поставок,"SQL, Python, DAX",От 1 года до 3 лет,Not specified
BI-аналитик,,От 1 года до 3 лет,Not specified
Архитектор 1C,,От 3 до 6 лет,Not specified
Директор по контенту в СНГ (Москва),,Более 6 лет,Not specified
Главный аналитик,"REST, SOAP, Data science, Прототипы решений, Аналитика, Платформенные решения, Проектные решения",От 1 года до 3 лет,Not specified
Бизнес-аналитик по ведению данных (SAP),"SQL, SAP, Бизнес-анализ, Анализ требований, Автоматизация процессов, СУБД, Системная интеграция",От 1 года до 3 лет,Not specified
Middle/Senior Data Analyst / F&R,SQL,От 3 до 6 лет,Not specified
"Data-аналитик стрима ""Аналитика и отчётность продаж СМБ""","SQL, Подготовка презентаций, Linux, Проведение презентаций, MS SQL, Базы данных, MySQL, Аналитика, Hadoop, MS SQL Server, Анализ данных, Аналитическое мышление, Аналитические исследования, Автоматизация процессов, Визуализация данных, Анализ бизнес показателей, Работа с базами данных, Работа с большим объемом информации, Анализ текущих финансовых показателей, Сбор и анализ информации, Qlik, QlikView, Qlik Sense",От 1 года до 3 лет,Not specified
Специалист по продажам B2B (теплые клиенты),"Поиск и привлечение клиентов, Навыки продаж, Консультативные продажи, Телефонные переговоры, Стратегия продаж",Нет опыта,Not specified
Руководитель отдела по разработке аналитической отчетности,"SQL, Tableau, OLAP, ETL, Power BI",От 3 до 6 лет,Not specified
Продуктовый аналитик,"SQL, Python, Power BI, A/B тесты",От 3 до 6 лет,Not specified
Маркетолог (Data center/ЦОД),"Маркетинговая стратегия, Контентная стратегия, Анализ эффективности PR-кампании, SEO, Планирование маркетинговых кампаний, B2B-маркетинг, Маркетинговые исследования, Интернет-маркетинг, Масштабирование маркетинговых кампаний, Разработка маркетинговых кампаний, Запуск маркетинговых кампаний, Автоматизация маркетинговых кампаний",От 1 года до 3 лет,Not specified
Руководитель отдела бизнес аналитики / Business Intelligence Head,,Более 6 лет,Not specified
Digital Media Manager,,От 3 до 6 лет,Not specified
Аналитик по развитию бизнес-приложений,"BPMN, Бизнес-анализ, UML",От 3 до 6 лет,Not specified
Юрист,,От 1 года до 3 лет,Not specified
Data Engineer,"Python, SQL, RabbitMQ, PubSub, Kafka, Airflow, dbt, Spark, pandas, Clickhouse, PostgreSQL, BigQuery, S3, Parquet, AWS, Yandex Cloud, GCP (Good Clinical Practice), Docker, GitLab CI/CD, DWH, ETL, ELT",От 1 года до 3 лет,Not specified
"Аналитик, Центр инноваций IB",,От 1 года до 3 лет,Not specified
Data Analyst,"SQL, Python",От 1 года до 3 лет,Not specified
Data Scientist,,От 3 до 6 лет,Not specified
Руководитель проектов DWH,"DWH, Agile, Scrum, Big Data",От 3 до 6 лет,Not specified
Руководитель Центра знаний (Team Lead Data Scientist),,Более 6 лет,Not specified
Data Scientist,,От 1 года до 3 лет,Not specified
Аналитик данных/Data analytics,,От 3 до 6 лет,Not specified
Технический лидер BI,"Power BI, Tableau, Qlik Sense, QlikView, Big Data, Визуализация данных",Более 6 лет,Not specified
Senior Data Analyst,"SQL, Python, Аналитика данных, Data Analysis, Бизнес-анализ, DataLens, Google Sheets, Продуктовая аналитика",От 3 до 6 лет,Not specified
Аналитик данных (Data Science),"Python, Numpy, pandas, Matplotlib, SQL, MS SQL, PostgreSQL",От 3 до 6 лет,Not specified
Руководитель IT проектов,"Управление проектами, Аналитическое мышление, Расстановка приоритетов, Проектный менеджмент, гибкие методологии, Agile Project Management, NLP, Big Data",От 3 до 6 лет,Not specified
Руководитель IT-проекта (разработка),,Более 6 лет,Not specified
Product Owner,,От 3 до 6 лет,Not specified
Дата аналитик отдела устойчивого развития \ Sustainability Program Data Analyst,,От 1 года до 3 лет,Not specified
Ведущий менеджер по работе с клиентами,,Более 6 лет,Not specified
Аналитик Junior/Middle,"CRM, MS SQL, PostgreSQL, Power Pivot, MS Excel, Olap-кубы, BI, ERP, Python, SQL, Big Data, data science, CM, ML, data-research",От 3 до 6 лет,Not specified
Владелец продукта (команда кредитное решение),,От 3 до 6 лет,Not specified
Data Engineer,,От 1 года до 3 лет,Not specified
Fullstack QA (C#),,От 1 года до 3 лет,Not specified
Fullstack QA (гибридный формат работы),,От 3 до 6 лет,Not specified
MLops/Data Engineer,,От 1 года до 3 лет,Not specified
BI-разработчик / Data Engineer (Microsoft Stack),,От 1 года до 3 лет,Not specified
Аналитик данных (DWH/BI),"PL/SQL, Системный анализ, PostgreSQL, Greenplum, BI, Python, Анализ данных, DataVault, Hadoop, ORACLE",От 1 года до 3 лет,Not specified
Инженер данных/ Аналитик данных,,От 3 до 6 лет,Not specified
Бизнес-аналитик,,От 3 до 6 лет,Not specified
Разработчик Java Senior,,Более 6 лет,Not specified
Data Engineer (DataLens),,От 3 до 6 лет,Not specified
"Аналитик данных [DSP, МТС Веб Сервисы]",,От 3 до 6 лет,Not specified
Руководитель группы продаж,"B2B Продажи, Организаторские навыки, Управление командой",От 3 до 6 лет,Not specified
Руководитель отдела портфельного управления (Collection),"Аналитическое мышление, SQL, MS Excel, Python, Руководство коллективом, Power BI",От 3 до 6 лет,Not specified
Data Engineer / Data analyst,"Python, SQL, Power BI, Tableau, DWH, PHP, СУБД, ELT / ETL, Clickhouse",От 1 года до 3 лет,Not specified
Data analyst (DWH),"Data Analysis, DWH, Big Data",От 1 года до 3 лет,Not specified
Data Analyst (Центр операционной зрелости),,От 1 года до 3 лет,Not specified
Аналитик данных/JS-разработчик,,От 1 года до 3 лет,Not specified
Аналитик DWH/BI,"Бизнес-анализ, Сбор требований, Проектная документация, Интервьюирование, Системный анализ, Ведение переговоров, SQL, BI, DWH, Greenplum, PostgreSQL, СУБД",От 1 года до 3 лет,Not specified
Pre-sale manager,"SQL, Разработка технических заданий, BPMN, UML, Системный анализ, Работа с базами данных",От 3 до 6 лет,Not specified
Бизнес-аналитик направления рисков,,Более 6 лет,Not specified
Руководитель направления интернет-маркетинга (МТС AdTech),"Интернет-маркетинг, Яндекс.Метрика, B2B-маркетинг, Яндекс.Директ, Telegram Ads",От 3 до 6 лет,Not specified
Media Buyer / Traffic Manager (МТС AdTech),,От 1 года до 3 лет,Not specified
Senior Data Analyst / Старший аналитик данных,"Power BI, SQL, Python, Математическая статистика, Интерпретация данных",От 3 до 6 лет,Not specified
HR Analyst/HR аналитик,"Transact-SQL, HR-аналитика, Power BI",От 3 до 6 лет,Not specified
Data engineer,,От 1 года до 3 лет,Not specified
AI Engineer (инженер по ИИ) data science (дата-сайентист),"Git, Python, PostgreSQL, LangChain, LangFlow, LLM, RAG, NLP",От 3 до 6 лет,Not specified
Бизнес-аналитик (Цифровые продукты),"Бизнес-анализ, Аналитическое мышление, User Story, Jobs To Be Done, Use case, BPMN, BRD, Стратегическое планирование, Системный анализ, Моделирование бизнес-процессов, Описание бизнес-процессов, Оптимизация бизнес-процессов",От 3 до 6 лет,Not specified
Бизнес-аналитик управления развития аналитической платформы и качества данных,,От 1 года до 3 лет,Not specified
Digital Marketing Manager (E-commerce),,От 1 года до 3 лет,Not specified
Продуктовый аналитик,,От 3 до 6 лет,Not specified
Аккаунт директор (IT-проекты e-comm и data-направление),"Управление коммуникациями, Планирование бюджета, Управление ресурсами, Деловая коммуникация, Управление ожиданиями, Управление рисками, Основы управления проектами",От 3 до 6 лет,Not specified
Data аналитик,,От 1 года до 3 лет,Not specified
Бизнес-аналитик данных,"BI, Business Process Managemen, SQL, Excel, DWH, BPMN, UML, MS Visio, Draw.io, Глоссарий, PostgreSQL, ORACLE, MySQL",От 1 года до 3 лет,Not specified
Телемаркетолог,"Телефонные переговоры, Деловое общение, Активные продажи, Деловая переписка, Работа с возражениями, Клиентоориентированность, Консультирование клиентов, Прямые продажи, Проведение презентаций, Метод Центра оценки, Работа с CRM, Ответственность, Исполнительность, IP-телефония, Обучаемость, Работа с клиентами, Выявление потребностей",От 1 года до 3 лет,Not specified
Senior Data Analyst,"Python, SQL, Математическая статистика, Big Data, A/B тесты",От 3 до 6 лет,Not specified
Финансовый аналитик,"Python, SQL, A/B тесты, Google Analytics, Яндекс.Метрика, AppsFlyer, Firebase",От 3 до 6 лет,Not specified
"Junior NLP, LLM Data Scientist (блок ""В2С"")",,Нет опыта,Not specified
Аналитик DWH,"DWH, Business intelligence, PostgreSQL, Python, Apache Airflow, dbt",От 1 года до 3 лет,Not specified
Аналитик данных в Маркет,"Анализ данных, Математический анализ, Исследовательский анализ данных, Data Analysis, SQL, Python, Математическая статистика, Big Data",От 3 до 6 лет,Not specified
Middle Data Analyst,,От 1 года до 3 лет,Not specified
Бизнес-аналитик (финмоделирование),"Управление бэклогом, владелец продукта, product owner, бизнес-аналитик, MS Excel, Python, Agile, XGBoost, Scikit-learn",От 1 года до 3 лет,Not specified
"Менеджер по продажам ИТ (WEB, AI)",,От 1 года до 3 лет,Not specified
TL Data Scientist,"SQL, BigData, Hadoop, Machine Learning, Python, Data Science",Более 6 лет,Not specified
SMM-стратег / Lead SMM (онлайн школа),"SMM, SMM-стратегия, Контент-маркетинг",От 3 до 6 лет,Not specified
Data Business Analyst,,От 1 года до 3 лет,Not specified
Data-Архитектор (IT),,Более 6 лет,Not specified
SRE-инженер,"SRE, Python, Go, BigData, Prometheus, Grafana",От 3 до 6 лет,Not specified
Data Governance Manager / Менеджер по управлению данными,"Data Governance, Data Analysis, DWH, SQL, MS SQL, Системный анализ, Постановка задач разработчикам, DMBoK, Data Privacy, Business Intelligence Systems, Power BI",От 3 до 6 лет,Not specified
Бизнес-аналитик middle,"Бизнес-анализ, Управление ожиданиями, Стратегическое планирование, Описание бизнес-процессов, Оптимизация бизнес-процессов, Управление бизнес процессами",От 1 года до 3 лет,Not specified
E-commerce: Менеджер продаж сервиса аналитики MPSTATS,"Активные продажи, Поиск и привлечение клиентов, Развитие продаж, Работа с дебиторской задолженностью, Деловая коммуникация, Холодные продажи, Навыки продаж, Планирование продаж, Аналитика продаж, Деловое общение, Телефонные переговоры, B2B Продажи, Прямые продажи, Проведение презентаций, Управление продажами, Деловая переписка, Навыки презентации, Навыки переговоров, Обучение персонала, Организаторские навыки",Более 6 лет,Not specified
Data Analyst (Управление координации стратегических проектов по фондированию и лояльности),,От 1 года до 3 лет,Not specified
BI аналитик-разработчик / BI developer,"Power BI, Power Query, DAX, Визуализация данных, Документирование бизнес-требований, SQL, Английский язык",От 1 года до 3 лет,Not specified
Специалист НСИ (система Честный знак),,От 3 до 6 лет,Not specified
Full stack аналитик (Электронный чиновник),,От 3 до 6 лет,Not specified
Портфельный аналитик (Risk Data Analyst),,От 1 года до 3 лет,Not specified
Инженер технической поддержки,,От 1 года до 3 лет,Not specified
Продуктовый аналитик (PREMIER),"SQL, Python, Spark, Clickhouse, A/B тесты",От 1 года до 3 лет,Not specified
Аккаунт-менеджер / Координатор проектов,"Грамотная устная и письменная речь, Общение с клиентами, Координация проектов, Многозадачность, Расстановка приоритетов, Деловая переписка, Ориентация на клиента",От 1 года до 3 лет,Not specified
Data Engineer (Электронный чиновник),,От 3 до 6 лет,Not specified
Data Analyst,,От 3 до 6 лет,Not specified
Data scientist (Центр модельных рисков розничного бизнеса),,От 1 года до 3 лет,Not specified
Аналитик в команду Mobile Big Data,,От 1 года до 3 лет,Not specified
Lead Data Steward/ Дата-менеджер/Аналитик данных,,От 1 года до 3 лет,Not specified
Креативный дизайнер (с опытом в 3D),"Adobe Photoshop, Adobe Illustrator, Графический дизайн, Blender 3D",От 1 года до 3 лет,Not specified
Главный аналитик BI (DWH),"Power BI, PostgreSQL, ETL, DWH, Работа с базами данных, Системный анализ, Базы данных, Big Data",От 1 года до 3 лет,Not specified
Менеджер по продажам B2B (теплые клиенты),"Активные продажи, Поиск и привлечение клиентов, Навыки продаж, SPIN-продажи, Холодные продажи, Телефонные переговоры, Деловая переписка, Выявление потребностей, Стратегия продаж, Консультативные продажи",Нет опыта,Not specified
CRO (Chief Risk Officer),,Более 6 лет,Not specified
Архитектор хранилища данных,"DWH, Clickhouse, Apache Airflow, Apache NiFi",От 3 до 6 лет,Not specified
Менеджер направления качества данных,"Качество данных, Управление данными, Data Governance, DWH, MDM",От 3 до 6 лет,Not specified
Data-аналитик (middle),,От 3 до 6 лет,Not specified
Продуктовый аналитик,,От 1 года до 3 лет,Not specified
Руководитель отдела продукта (Цифровые продукты и сервисы Medtech),,От 3 до 6 лет,Not specified
Менеджер по работе с клиентами/Account Manager,,От 1 года до 3 лет,Not specified
"Data Analyst (Marketing Analytics, Mobile In-App)",,От 3 до 6 лет,Not specified
Руководитель проектов КХД,"PostgreSQL, СУБД, ETL, Power BI, Visiology, DWH, Data Governance, Управление проектами, SQL, ORACLE, Apache Airflow, Apache NiFi, Анализ данных, ИТ-архитектура, Визуализация данных, КХД, Отчетность, Agile",От 1 года до 3 лет,Not specified
Data analyst,"Apache Spark, Apache Kafka, Java",От 1 года до 3 лет,Not specified
Senior Data Engineer,"Python, SQL, Clickhouse, MySQL",От 3 до 6 лет,Not specified
Руководитель Digital маркетинга,,От 3 до 6 лет,Not specified
IT- Рекрутер/Специалист по подбору персонала,,От 1 года до 3 лет,Not specified
Data Engineer / Инженер данных (уровень Middle),"Python, SQL, Yandex Cloud, 1С",От 1 года до 3 лет,Not specified
Руководитель направления ухода от массового промо,"Оценка эффективности промо акций, Трейд-маркетинг, Трейд-маркетинговая стратегия, Маркетинговые метрики, Сегментация рынка, Персональное промо, Анализ эффективности маркетинговых кампаний, A/B тесты, Целевой маркетинг",От 3 до 6 лет,Not specified
Инженер данных / Data Engineer,"SQL, Python, PostgreSQL, Apache Kafka, Linux, Grafana, Docker, Kubernetes, Spark",От 3 до 6 лет,Not specified
"Бизнес-эксперт (Wildberries, Ozon)","Аналитика маркетплейсов, Маркетплейсы, E-Commerce, Навыки переговоров, Аналитическое мышление, Деловое общение, Управление отношениями с клиентами, Управление временим, Выстраивание долгосрочных отношением, Управление проектами",От 1 года до 3 лет,Not specified
Главный аналитик (бизнес анализ и моделирование),"Анализ финансовых показателей, SQL",От 3 до 6 лет,Not specified
Data Architect/Архитектор данных,,От 3 до 6 лет,Not specified
Риск аналитик (ПВР),,От 1 года до 3 лет,Not specified
Портфельный риск-менеджер,"Портфельные риски, MS SQL",От 1 года до 3 лет,Not specified
Системный аналитик,,От 3 до 6 лет,Not specified
Бизнес-аналитик,,От 3 до 6 лет,Not specified
Quant Analyst / Quantitative Researcher,,Более 6 лет,Not specified
Разработчик DWH и BI (ЕХД Oracle),"DWH, ORACLE, SQL, Oracle Pl/SQL",От 3 до 6 лет,Not specified
Lead Data Engineer / Инженер по данным,"SQL, DWH, ETL, Apache Airflow, Dagster, DataVault, PostgreSQL, Clickhouse, REST API, Python, Наставничество",От 3 до 6 лет,Not specified
Data Engineer,,От 1 года до 3 лет,Not specified
Strategy Group Head (Digital),"Управление командой, Тендерная стратегия, Стратегическое мышление, Mobile Marketing",От 3 до 6 лет,Not specified
Middle Product analyst (pricing),"SQL, Python, Аналитика, Data Analysis, Статистический анализ, Статистика, Математическая статистика, Аналитическое мышление, Анализ данных, Математический анализ, Hadoop",От 1 года до 3 лет,Not specified
Data Analyst,"Бизнес-анализ, P&L, Финансовое планирование, План-факт анализ, Бюджетирование ФОТ, Финансовый анализ, Финансовый контроль, Автоматизация бизнес-процессов, Анализ бизнес-процессов, ERP-системы на базе 1С, Формирование аналитической отчетности, MS Excel",От 3 до 6 лет,Not specified
Системный аналитик DWH (в офис),"SQL, Системный анализ, Анализ требований, Teradata, Big Data, Hadoop, Apache Hive",От 1 года до 3 лет,Not specified
Системный аналитик (DWH),"Atlassian Jira, SQL, Atlassian Confluence, Big Data, Hadoop",От 1 года до 3 лет,Not specified
Data Analyst,,От 3 до 6 лет,Not specified
Senior Business Analyst/Project Manager AI/ML,"Project management, Бизнес-анализ, Business Development, Управление рисками, Аналитическое мышление, Python, Marketing Analysis, Business Analysis, Data Analysis, ML, BPMN, Product Ownership",От 3 до 6 лет,Not specified
Middle Rust Engineer,"rust, Python",От 3 до 6 лет,Not specified
"Бизнес-аналитик/ CJE в кластер ""Семейный банк""",,От 3 до 6 лет,Not specified
Бизнес-аналитик (аналитическое сопровождение взыскания),"MS SQL, Взыскание задолженности",От 1 года до 3 лет,Not specified
Data Analyst (Data Solution),,От 3 до 6 лет,Not specified
Специалист по разработке отчетов (Reporting Developer),,От 1 года до 3 лет,Not specified
Аналитик данных (СберТранспорт),,От 3 до 6 лет,Not specified
Дата-аналитик,,От 1 года до 3 лет,Not specified
Категорийный менеджер (Электрика),"Ведение переговоров, Обучение и развитие, Деловое общение, Развитие продаж",От 3 до 6 лет,Not specified
Team Lead развития DWH,"Дата инженер, DE Архитектор, SQL, Airflow, MongoDB, REST API, PostgreSQL, MS SQL, Ceph, Opensearch, Elasticsearch",От 3 до 6 лет,Not specified
Супервайзер,,От 1 года до 3 лет,Not specified
Младший специалист по медиапланированию (МТС AdTech),,От 1 года до 3 лет,Not specified
"Ведущий архитектор данных (Data & BI, архитектурный консалтинг), со знанием ClickHouse","DWH, Data Lake, ETL/ELT, НСИ, BigData, SQL, NoSQL, Hadoop, Spark, Clickhouse, Vertica, Visiology, Power BI, Qlik, Tableau",Более 6 лет,Not specified
ML разработчик/Data scientist,"Machine learning, Python, pandas, PyTorch, DeepL",От 1 года до 3 лет,Not specified
"Таргетолог ВК, ТГ (онлайн школа)","Telegram, Таргетинг, Анализ трафика",От 1 года до 3 лет,Not specified
Системный аналитик,,От 1 года до 3 лет,Not specified
Data-аналитик,"Use cases, User Story, IDEF, BPMN, eEPC, UML, Customer Journey Maps, Power BI, Excel, Tableau, Scrum, Jira, Confluence, CJM",Более 6 лет,Not specified
Data analyst ( Мiddle/Middle+ ),"Data Science, SQL, Hive, PostgreSQL, Greenplum, Python, pandas, Polars, SciPy, Numpy, Matplotlib, Seaborn, Plotly, Bokeh",От 3 до 6 лет,Not specified
Аналитик ЦБ отчетности,"SQL, Atlassian Confluence, Greenplum, Atlassian Jira, Hadoop",От 1 года до 3 лет,Not specified
Product Designer,"UX, UI, Figma, Product-market fit, CustDev, User Story, Дизайн интерфейсов",От 3 до 6 лет,Not specified
Системный аналитик DWH,"SQL, Системный анализ, PostgreSQL, Big Data, Постановка задач разработчикам, Разработка функциональных требований, Разработка пользовательской документации, Greenplum, ORACLE",От 3 до 6 лет,Not specified
Менеджер по продажам,Активные продажи,От 1 года до 3 лет,Not specified
Рекрутер по подбору ИТ-специалистов,"Рекрутмент, Подбор персонала",От 1 года до 3 лет,Not specified
Data engineer,,От 1 года до 3 лет,Not specified
Sales Data Domain Leader,,От 3 до 6 лет,Not specified
Директор департамента корпоративных продаж,,Более 6 лет,Not specified
Специалист внедрения ИИ в процессы,"Python, SQL, REST API, JSON",От 3 до 6 лет,Not specified
Data analyst,,От 1 года до 3 лет,Not specified
Data Engineer,"SQL, Python, Clickhouse, PostgreSQL",От 1 года до 3 лет,Not specified
Начальника отдела системной архитектуры и анализа данных,"Аналитические исследования, Руководство коллективом, MS SQL, Бизнес-анализ, MS Power BI, MS Visio, Разработка технических заданий, Моделирование бизнес-процессов, Python",От 3 до 6 лет,Not specified
Телемаркетолог,"Телефонные переговоры, Деловое общение, Активные продажи, Деловая переписка, Работа с возражениями, Клиентоориентированность, Консультирование клиентов, Прямые продажи, Проведение презентаций, Метод Центра оценки, Работа с CRM, Ответственность, Исполнительность, IP-телефония, Обучаемость, Работа с клиентами, Выявление потребностей",От 1 года до 3 лет,Not specified
Data Engineer,,От 3 до 6 лет,Not specified
Менеджер по маркетинговым исследованиям и аналитике,,От 3 до 6 лет,Not specified
Product owner (Bigdata),"Продуктовые метрики, Продуктовая стратегия, Английский язык, Ведение переговоров",От 3 до 6 лет,Not specified
Системный аналитик,,От 1 года до 3 лет,Not specified
Ведущий аналитик по планированию ассортимента,,От 1 года до 3 лет,Not specified
Data Analyst,"Power BI, SQL, Python",От 3 до 6 лет,Not specified
Data Analyst / BI Developer,"SQL, Python, Apache Airflow, Clickhouse",От 1 года до 3 лет,Not specified
Data science,,От 3 до 6 лет,Not specified
Business/Data Analyst,"Kafka, InfluxDB, SQL, Grafana",От 3 до 6 лет,Not specified
Пресейл-специалист по направлению сервисная и техническая поддержка ИТ-инфраструктуры,"Пресейл, Сервис, Аналитика",От 1 года до 3 лет,Not specified
Менеджер по кадровому делопроизводству,,От 3 до 6 лет,Not specified
Маркетолог-аналитик (маркетплейсы),"Маркетинговые исследования, E-Commerce, CTR, CPM, CPO",От 1 года до 3 лет,Not specified
Mobile Data Architect,"Swift, Kotlin, Data Analysis, Computer science, Kotlin Multiplatform, JavaScriptCore, iOS, Foreign Function Interface, Data Modeling",Более 6 лет,Not specified
Lead Data Analyst (Analytics Team),"SQL, Python, Data Analysis",От 3 до 6 лет,Not specified
BI Analyst,,От 3 до 6 лет,Not specified
Data engineer,"SQL, PostgreSQL, Работа с базами данных, СУБД, Python, ETL, DWH, Git, Docker",От 3 до 6 лет,Not specified
Data Engineer (Middle+/ Senior),"Apache Airflow, Python, Apache Kafka, Apache Spark, ETL, OMD",От 3 до 6 лет,Not specified
Senior Data Engineer,,От 3 до 6 лет,Not specified
Системный аналитик СКП,"UML, BPMN, Системный анализ, XML, Atlassian Confluence, ER-диаграммы, ERD, Постановка задач разработчикам",От 3 до 6 лет,Not specified
Аналитик данных (МТС AdTech),"SQL, Аналитическое мышление, Продуктовые метрики, Визуализация данных, Power BI",От 1 года до 3 лет,Not specified
Project manager по СХ стратегии,,От 1 года до 3 лет,Not specified
Руководитель отдела C&B,,От 3 до 6 лет,Not specified
New Business Manager/Project manager (Digital),,От 1 года до 3 лет,Not specified
MLOps/Devops инженер,,От 3 до 6 лет,Not specified
Customer Journey Expert/Продуктовый аналитик в команду Клиентской коммуникации,"Продуктовый аналитик, CJE, Аналитическое мышление, SQL, SDP, Jira, Интеграционное тестирование",От 3 до 6 лет,Not specified
Solution Architect (.NET) / Архитектор решений,".NET Core, .NET Framework, ASP.NET, PostgreSQL, Микросервисная архитектура, MongoDB, Redis, CI/CD, RabbitMQ, ИТ-архитектура, Антикризисное управление, Руководство коллективом, Enterprise Architect, C#, DevOps, Apache Airflow",От 3 до 6 лет,Not specified
Руководитель направления защиты данных,"Информационная безопасность, DWH, Big Data, Защита данных",От 3 до 6 лет,Not specified
Руководитель разработки / Head of Development,,Более 6 лет,Not specified
Риск-стратег,,От 1 года до 3 лет,Not specified
Продуктовый аналитик/аналитик данных в Мобильную платформу,"Python, Математическая статистика, а/b тестирование",От 3 до 6 лет,Not specified
Web аналитик,"Яндекс.Метрика, Google Analytics, MS PowerPoint",От 1 года до 3 лет,Not specified
Менеджер по продукту,,От 3 до 6 лет,Not specified
Lead Data Engineer,"Python, SQL, PostgreSQL, Big Data, Git, Clickhouse, Apache Airflow, Data Engineering, k8s, Hadoop, Linux, PySpark, Apache Spark, Наставничество",Более 6 лет,Not specified
Client Success Manager / Account менеджер,Customer Success,От 1 года до 3 лет,Not specified
Бизнес-аналитик/ CJE в в службу бизнес - аналитики и планирования,,От 3 до 6 лет,Not specified
Специалист по работе с базами данных (Data Analyst Master data),,От 1 года до 3 лет,Not specified
Стажер в департамент по работе с аналитическими и медиа продуктом,"MS Excel, MS PowerPoint, макросы, Анализ данных, Точность и внимательность к деталям, Английский язык",Нет опыта,Not specified
Senior Data Scientist в команду аналитики профилей в AI VK,"Python, SQL, Power BI",От 1 года до 3 лет,Not specified
Аналитик данных в Малый и Микро Бизнес,,От 3 до 6 лет,Not specified
Специалист по развитию и поддержке бизнес-систем,"ELMA, API, TypeScript, CRM, Power BI, SQL, MS Excel, Анализ бизнес-процессов, Реинжиниринг бизнес-процессов, Автоматизация бизнес-процессов",От 1 года до 3 лет,Not specified
Менеджер по эконометрическому моделированию / Econometrician,"Python, ROI, эконометрическое моделирование, Power BI, Сбор и анализ информации, Статистика",От 1 года до 3 лет,Not specified
Аналитик данных,"SQL, Python, Excel, Qlik Sense",От 1 года до 3 лет,Not specified
Senior Data Analyst,,От 3 до 6 лет,Not specified
Data Scientist,,От 3 до 6 лет,Not specified
International recruiter (Business hiring),"Оценка кандидатов, Подбор персонала",От 1 года до 3 лет,Not specified
Архитектор решений / Ведущий инженер систем управления производством,"MES-системы, АСУ ТП, IIoT, Техническая документация, Разработка технических заданий, Atlassian Jira, Atlassian Confluence, User Story",От 3 до 6 лет,Not specified
Аналитик в Центр стратегической аналитики и больших данных НИУ ВШЭ,,От 3 до 6 лет,Not specified
Специалист по скорингу и анализу данных,"SQL, Python, MS Excel, Основы баз данных, Предобработка данных, Скоринговая карта, Анализ рисков, Data Analysis",От 1 года до 3 лет,Not specified
Маркетолог-аналитик,,От 3 до 6 лет,Not specified
"Системный архитектор, отдел ИРО",,От 3 до 6 лет,Not specified
